iter	Passed	Remaining
449	2901	3545
450	2906	3537
451	2911	3529
452	2916	3521
453	2921	3513
454	2927	3506
455	2932	3498
456	2937	3490
457	2943	3483
458	2948	3475
459	2953	3467
460	2961	3462
461	2966	3455
462	2972	3447
463	2979	3441
464	2985	3435
465	2990	3427
466	2996	3419
467	3001	3412
468	3006	3404
469	3013	3397
470	3018	3389
471	3023	3382
472	3029	3374
473	3034	3367
474	3040	3360
475	3046	3353
476	3051	3345
477	3057	3338
478	3062	3331
479	3068	3324
480	3072	3315
481	3077	3307
482	3081	3298
483	3086	3290
484	3091	3282
485	3094	3273
486	3098	3264
487	3103	3255
488	3107	3247
489	3112	3239
490	3117	3231
491	3120	3222
492	3126	3215
493	3130	3206
494	3135	3198
495	3139	3190
496	3143	3181
497	3147	3173
498	3152	3165
499	3157	3157
500	3161	3149
501	3166	3141
502	3171	3133
503	3175	3124
504	3179	3116
505	3184	3108
506	3188	3100
507	3192	3091
508	3196	3083
509	3201	3075
510	3206	3068
511	3209	3059
512	3214	3051
513	3218	3043
514	3222	3035
515	3226	3026
516	3231	3019
517	3236	3011
518	3240	3003
519	3244	2995
520	3249	2987
521	3254	2979
522	3258	2971
523	3262	2963
524	3266	2955
525	3271	2948
526	3275	2939
527	3279	2931
528	3284	2924
529	3288	2916
530	3292	2908
531	3297	2900
532	3302	2893
533	3306	2885
534	3310	2877
535	3315	2869
536	3319	2862
537	3323	2854
538	3328	2846
539	3332	2838
540	3336	2831
541	3340	2823
542	3345	2815
543	3349	2807
544	3353	2799
545	3357	2791
546	3361	2784
547	3366	2776
548	3370	2768
549	3375	2761
550	3379	2753
551	3383	2746
552	3387	2738
553	3391	2730
554	3395	2722
555	3400	2715
556	3404	2707
557	3408	2700
558	3413	2692
559	3417	2685
560	3421	2677
561	3426	2670
562	3431	2663
563	3435	2656
564	3440	2648
565	3444	2641
566	3449	2634
567	3453	2626
568	3458	2619
569	3462	2611
570	3466	2604
571	3471	2597
572	3475	2589
573	3480	2583
574	3484	2575
575	3488	2568
576	3493	2560
577	3497	2553
578	3501	2546
579	3506	2539
580	3510	2531
581	3515	2524
582	3519	2517
583	3523	2510
584	3528	2503
585	3532	2495
586	3537	2488
587	3541	2481
588	3546	2474
589	3550	2467
590	3555	2460
591	3559	2453
592	3564	2446
593	3568	2438
594	3573	2432
595	3577	2425
596	3582	2418
597	3586	2411
598	3590	2403
599	3596	2397
600	3600	2390
601	3605	2383
602	3610	2377
603	3614	2369
604	3619	2363
605	3623	2356
606	3628	2349
607	3632	2342
608	3637	2335
609	3642	2329
610	3647	2322
611	3652	2315
612	3656	2308
613	3660	2300
614	3664	2293
615	3668	2287
616	3673	2280
617	3677	2273
618	3681	2265
619	3690	2262
620	3695	2255
621	3699	2248
622	3703	2241
623	3708	2234
624	3712	2227
625	3716	2220
626	3720	2213
627	3725	2206
628	3730	2200
629	3739	2196
630	3744	2189
631	3752	2184
632	3757	2178
633	3763	2172
634	3769	2166
635	3774	2160
636	3780	2154
637	3784	2147
638	3789	2140
639	3793	2133
640	3798	2127
641	3802	2120
642	3808	2114
643	3812	2107
644	3816	2100
645	3821	2094
646	3826	2087
647	3832	2081
648	3839	2076
649	3843	2069
650	3848	2062
651	3852	2056
652	3857	2049
653	3861	2042
654	3865	2036
655	3870	2029
656	3876	2023
657	3883	2018
658	3888	2012
659	3892	2005
660	3896	1998
661	3901	1991
662	3905	1985
663	3909	1978
664	3914	1971
665	3919	1965
666	3925	1959
667	3930	1953
668	3936	1947
669	3940	1940
670	3944	1934
671	3949	1927
672	3953	1920
673	3957	1914
674	3962	1907
675	3967	1901
676	3971	1894
677	3975	1888
678	3980	1881
679	3985	1875
680	3989	1868
681	3994	1862
682	3999	1856
683	4004	1850
684	4010	1844
685	4014	1837
686	4019	1831
687	4023	1824
688	4027	1817
689	4032	1811
690	4037	1805
691	4042	1799
692	4051	1794
693	4057	1788
694	4064	1783
695	4070	1778
696	4076	1772
697	4083	1766
698	4087	1760
699	4092	1753
700	4096	1747
701	4100	1740
702	4104	1734
703	4109	1727
704	4113	1721
705	4117	1714
706	4121	1708
707	4126	1701
708	4131	1695
709	4136	1689
710	4141	1683
711	4147	1677
712	4151	1671
713	4157	1665
714	4163	1659
715	4167	1653
716	4172	1646
717	4177	1640
718	4181	1634
719	4186	1627
720	4190	1621
721	4195	1615
722	4199	1608
723	4204	1602
724	4208	1596
725	4212	1589
726	4216	1583
727	4221	1577
728	4225	1570
729	4229	1564
730	4233	1557
731	4238	1551
732	4242	1545
733	4247	1539
734	4251	1532
735	4256	1526
736	4261	1520
737	4265	1514
738	4270	1508
739	4275	1502
740	4279	1495
741	4283	1489
742	4287	1483
743	4292	1477
744	4296	1470
745	4300	1464
746	4305	1458
747	4309	1451
748	4314	1445
749	4319	1439
750	4324	1433
751	4328	1427
752	4333	1421
753	4337	1415
754	4341	1408
755	4345	1402
756	4350	1396
757	4354	1390
758	4359	1384
759	4364	1378
760	4371	1372
761	4375	1366
762	4379	1360
763	4384	1354
764	4389	1348
765	4392	1341
766	4397	1335
767	4401	1329
768	4406	1323
769	4411	1317
770	4416	1311
771	4422	1306
772	4426	1299
773	4431	1293
774	4435	1287
775	4439	1281
776	4443	1275
777	4448	1269
778	4452	1263
779	4457	1257
780	4463	1251
781	4469	1246
782	4474	1240
783	4479	1234
784	4484	1228
785	4489	1222
786	4494	1216
787	4498	1210
788	4503	1204
789	4509	1198
790	4514	1192
791	4520	1187
792	4527	1181
793	4532	1176
794	4538	1170
795	4543	1164
796	4548	1158
797	4554	1152
798	4559	1146
799	4564	1141
800	4569	1135
801	4575	1129
802	4582	1124
803	4588	1118
804	4594	1113
805	4599	1107
806	4605	1101
807	4611	1095
808	4616	1089
809	4621	1084
810	4627	1078
811	4632	1072
812	4637	1066
813	4643	1060
814	4647	1055
815	4652	1049
816	4657	1043
817	4663	1037
818	4667	1031
819	4673	1025
820	4679	1020
821	4683	1014
822	4688	1008
823	4691	1002
824	4696	996
825	4700	990
826	4704	984
827	4709	978
828	4714	972
829	4720	966
830	4726	961
831	4732	955
832	4737	949
833	4743	944
834	4749	938
835	4754	932
836	4761	927
837	4766	921
838	4771	915
839	4776	909
840	4780	903
841	4784	897
842	4789	891
843	4793	886
844	4797	880
845	4802	874
846	4807	868
847	4811	862
848	4815	856
849	4819	850
850	4824	844
851	4828	838
852	4832	832
853	4837	827
854	4841	821
855	4845	815
856	4850	809
857	4855	803
858	4859	797
859	4863	791
860	4867	785
861	4872	780
862	4876	774
863	4880	768
864	4884	762
865	4889	756
866	4893	750
867	4898	744
868	4902	739
869	4907	733
870	4911	727
871	4915	721
872	4920	715
873	4925	710
874	4931	704
875	4937	698
876	4942	693
877	4948	687
878	4954	682
879	4960	676
880	4966	670
881	4971	665
882	4977	659
883	4984	654
884	4989	648
885	4996	642
886	5002	637
887	5007	631
888	5013	625
889	5019	620
890	5024	614
891	5031	609
892	5037	603
893	5043	597
894	5049	592
895	5055	586
896	5062	581
897	5068	575
898	5073	569
899	5079	564
900	5087	559
901	5099	554
902	5110	548
903	5118	543
904	5127	538
905	5136	532
906	5144	527
907	5156	522
908	5162	516
909	5168	511
910	5174	505
911	5181	500
912	5188	494
913	5194	488
914	5201	483
915	5210	477
916	5216	472
917	5223	466
918	5234	461
919	5243	455
920	5250	450
921	5258	444
922	5268	439
923	5279	434
924	5289	428
925	5300	423
926	5310	418
927	5320	412
928	5331	407
929	5341	402
930	5350	396
931	5355	390
932	5362	385
933	5367	379
934	5373	373
935	5378	367
936	5384	362
937	5395	356
938	5405	351
939	5414	345
940	5422	339
941	5431	334
942	5441	328
943	5451	323
944	5464	318
945	5476	312
946	5499	307
947	5515	302
948	5526	297
949	5536	291
950	5549	285
951	5560	280
952	5574	274
953	5591	269
954	5610	264
955	5619	258
956	5625	252
957	5634	247
958	5644	241
959	5654	235
960	5663	229
961	5673	224
962	5679	218
963	5684	212
964	5689	206
965	5695	200
966	5700	194
967	5706	188
968	5711	182
969	5716	176
970	5722	170
971	5729	165
972	5735	159
973	5742	153
974	5752	147
975	5758	141
976	5763	135
977	5769	129
978	5774	123
979	5779	117
980	5784	112
981	5790	106
982	5795	100
983	5800	94
984	5806	88
985	5811	82
986	5817	76
987	5822	70
988	5827	64
989	5832	58
990	5838	53
991	5843	47
992	5848	41
993	5853	35
994	5858	29
995	5864	23
996	5869	17
997	5874	11
998	5880	5
999	5886	0
