iter	RMSE
244	42849.23633
245	42805.79631
246	42767.8359
247	42741.35106
248	42703.02293
249	42673.51144
250	42646.69456
251	42612.82691
252	42590.72388
253	42572.85574
254	42539.78122
255	42512.7979
256	42481.92832
257	42448.19998
258	42418.37957
259	42393.51841
260	42364.58381
261	42324.22447
262	42301.69161
263	42267.33803
264	42247.60449
265	42219.53671
266	42197.78922
267	42153.22973
268	42133.69608
269	42108.97785
270	42077.28727
271	42044.43317
272	41995.28623
273	41973.45853
274	41951.66037
275	41923.83428
276	41904.52889
277	41882.30645
278	41853.58985
279	41829.77252
280	41803.50422
281	41777.76822
282	41757.75333
283	41740.66311
284	41713.20921
285	41690.37321
286	41671.66747
287	41650.65148
288	41634.09013
289	41597.75258
290	41576.9068
291	41554.8625
292	41536.34019
293	41522.3101
294	41506.02856
295	41480.165
296	41452.99789
297	41434.71783
298	41402.65296
299	41385.03505
300	41360.38758
301	41331.88317
302	41311.33818
303	41292.2381
304	41272.96457
305	41253.56382
306	41229.45236
307	41206.97655
308	41182.74755
309	41159.22508
310	41140.68213
311	41124.13717
312	41104.30751
313	41073.97
314	41054.83909
315	41035.53571
316	41014.8355
317	40999.1573
318	40976.52091
319	40942.78194
320	40925.0974
321	40907.91453
322	40890.39182
323	40872.60997
324	40859.50259
325	40838.03998
326	40819.88253
327	40802.26518
328	40788.43954
329	40767.51669
330	40746.83236
331	40731.29532
332	40714.65249
333	40694.64554
334	40659.53065
335	40649.53086
336	40636.60615
337	40620.20466
338	40601.86752
339	40576.46166
340	40563.97882
341	40542.97023
342	40523.47943
343	40509.11853
344	40491.38697
345	40479.55986
346	40465.40683
347	40443.95046
348	40425.85443
349	40396.76522
350	40379.70737
351	40360.78172
352	40338.1728
353	40299.41658
354	40284.65487
355	40269.41191
356	40251.02247
357	40230.08229
358	40207.96349
359	40186.60929
360	40170.48791
361	40157.97875
362	40144.95546
363	40135.02359
364	40114.66968
365	40106.0707
366	40084.0237
367	40059.42156
368	40046.76033
369	40028.33811
370	40011.57601
371	39991.4455
372	39975.73567
373	39963.35385
374	39946.00342
375	39929.72706
376	39905.29115
377	39888.37492
378	39863.2457
379	39844.79242
380	39836.7872
381	39822.85465
382	39806.27089
383	39780.70678
384	39766.86349
385	39751.42679
386	39739.3224
387	39724.10813
388	39713.22671
389	39700.27116
390	39686.61768
391	39672.01161
392	39661.44628
393	39645.58198
394	39631.22849
395	39606.228
396	39592.25271
397	39581.90429
398	39566.04909
399	39557.15659
400	39547.63398
401	39534.32043
402	39522.81746
403	39506.39653
404	39489.80719
405	39474.26151
406	39451.5395
407	39440.55682
408	39423.52702
409	39405.58935
410	39387.35042
411	39367.28859
412	39348.90732
413	39338.37657
414	39329.98664
415	39320.68413
416	39312.00025
417	39290.35411
418	39275.92829
419	39257.78819
420	39247.4282
421	39226.83566
422	39216.98048
423	39210.41798
424	39195.25188
425	39183.5509
426	39174.58399
427	39155.35685
428	39142.0582
429	39133.33901
430	39117.52201
431	39110.10519
432	39100.99109
433	39090.02221
434	39075.73548
435	39060.79838
436	39047.70826
437	39036.08566
438	39027.28318
439	39014.15729
440	39001.96462
441	38976.2289
442	38963.38271
443	38951.09148
444	38931.97298
445	38921.59812
446	38891.66599
447	38879.96284
448	38862.56697
449	38852.58883
450	38843.81871
451	38833.13
452	38826.89308
453	38815.05793
454	38799.61685
455	38784.0293
456	38774.68706
457	38753.25098
458	38743.84226
459	38734.06332
460	38722.07118
461	38711.15091
462	38698.06672
463	38678.4587
464	38666.14174
465	38659.08391
466	38644.04069
467	38629.38133
468	38620.7666
469	38606.56116
470	38598.90907
471	38588.54999
472	38580.35711
473	38570.64293
474	38562.15351
475	38555.48176
476	38547.60795
477	38527.01155
478	38518.29863
479	38507.07935
480	38485.72045
481	38474.2474
482	38468.70694
483	38458.40837
484	38445.08017
485	38437.21593
486	38425.60584
487	38417.95809
488	38411.70359
489	38400.712
490	38386.82032
491	38378.37926
492	38365.41202
493	38358.2576
494	38344.2152
495	38337.77111
496	38328.10874
497	38321.3092
498	38307.66069
499	38292.29024
500	38278.0108
501	38271.50531
502	38257.45783
503	38243.61112
504	38232.79515
505	38225.48962
506	38218.4565
507	38211.65622
508	38205.10515
509	38197.63609
510	38188.55378
511	38182.42986
512	38174.33374
513	38165.58732
514	38159.17472
515	38144.04585
516	38133.69096
517	38123.10884
518	38103.68458
519	38096.62417
520	38085.34297
521	38077.56089
522	38064.0194
523	38057.11422
524	38039.44465
525	38027.82103
526	38019.74696
527	38011.93359
528	37997.99626
529	37989.00858
530	37971.01479
531	37961.72537
532	37952.34784
533	37942.84907
534	37936.76022
535	37926.33613
536	37918.17425
537	37904.478
538	37894.63506
539	37889.09815
540	37878.46494
541	37869.53285
542	37864.3716
543	37858.50952
544	37849.01022
545	37843.97861
546	37838.89878
547	37828.51244
548	37819.61778
549	37811.27905
550	37807.19584
551	37802.30336
552	37796.45877
553	37789.46935
554	37780.94123
555	37772.0716
556	37766.0118
557	37759.17704
558	37750.48811
559	37741.56906
560	37730.78442
561	37720.12772
562	37714.83954
563	37706.79936
564	37697.12976
565	37691.61466
566	37685.60894
567	37678.82618
568	37668.76129
569	37662.12844
570	37655.62556
571	37646.89512
572	37636.07062
573	37625.69234
574	37616.72923
575	37607.21845
576	37600.70584
577	37592.88606
578	37585.21292
579	37578.0247
580	37570.22943
581	37560.19322
582	37554.47614
583	37545.49199
584	37541.07886
585	37532.44077
586	37525.78596
587	37519.66549
588	37511.34307
589	37500.74392
590	37494.93148
591	37486.99777
592	37478.52987
593	37470.98572
594	37462.30799
595	37453.86009
596	37447.90634
597	37441.50093
598	37435.04637
599	37428.42504
600	37422.46983
601	37416.82967
602	37410.5288
603	37400.76436
604	37391.71086
605	37381.18089
606	37375.51485
607	37360.65318
608	37353.66931
609	37346.51321
610	37332.40604
611	37324.84834
612	37316.42864
613	37314.7437
614	37307.36512
615	37291.39075
616	37281.81361
617	37275.9074
618	37269.57672
619	37260.10046
620	37246.92938
621	37240.17178
622	37236.18036
623	37230.66037
624	37224.15342
625	37218.47574
626	37212.83012
627	37207.14764
628	37194.31142
629	37188.55364
630	37183.15373
631	37180.80328
632	37173.69097
633	37161.81716
634	37153.05854
635	37142.4656
636	37136.97191
637	37132.05238
638	37127.63612
639	37119.83452
640	37113.53972
641	37110.72349
642	37097.38379
643	37094.36165
644	37090.11928
645	37086.26825
646	37080.84371
647	37075.52332
648	37072.16548
649	37066.00882
650	37059.388
651	37047.5037
652	37035.80831
653	37028.88476
654	37024.55281
655	37018.90216
656	37015.08983
657	37010.03064
658	37003.57974
659	36998.94173
660	36994.46998
661	36987.69458
662	36979.57471
663	36971.35825
664	36964.14606
665	36955.25754
666	36947.92305
667	36945.14726
668	36941.98736
669	36933.8274
670	36927.01558
671	36918.8247
672	36911.64662
673	36895.72167
674	36888.67974
675	36875.08108
676	36871.1899
677	36869.43234
678	36864.38798
679	36860.56248
680	36852.46365
681	36848.03538
682	36835.83043
683	36829.29589
684	36821.18577
685	36812.40336
686	36806.37275
687	36796.82811
688	36792.67053
689	36788.89594
690	36784.0989
691	36777.71662
692	36772.73452
693	36765.18753
694	36757.69955
695	36744.6139
696	36738.79662
697	36730.60279
698	36727.11448
699	36723.41081
700	36720.98269
701	36718.96013
702	36708.22994
703	36703.47981
704	36701.5584
705	36696.88819
706	36690.67143
707	36683.33493
708	36678.12683
709	36674.85256
710	36670.79075
711	36663.44521
712	36657.83881
713	36652.46528
714	36647.36202
715	36641.66482
716	36634.29767
717	36624.88415
718	36621.14007
719	36608.66998
720	36602.45934
721	36594.60931
722	36589.39619
723	36583.17819
724	36575.83097
725	36570.27804
726	36563.34967
727	36558.43117
728	36554.75584
729	36551.58659
730	36543.8016
731	36541.83242
732	36535.19947
733	36527.74484
734	36524.20981
735	36518.48689
736	36509.5144
737	36508.05869
738	36502.5993
739	36492.11666
740	36486.09794
741	36477.55358
742	36470.9462
743	36467.01752
744	36462.39871
745	36455.49534
746	36446.22553
747	36442.28555
748	36434.60492
749	36428.42753
750	36421.01569
751	36414.10334
752	36408.4385
753	36407.15916
754	36405.68109
755	36399.68743
756	36393.5193
757	36391.47323
758	36380.8767
759	36376.02288
760	36374.31237
761	36365.56093
762	36356.81549
763	36353.02681
764	36345.60846
765	36341.72167
766	36330.04293
767	36323.15133
768	36317.58698
769	36317.06237
770	36314.3075
771	36310.92321
772	36304.02989
773	36294.67371
774	36283.28057
775	36278.61744
776	36275.1095
777	36265.74832
778	36256.56254
779	36252.67193
780	36247.72975
781	36241.87185
782	36236.92137
783	36231.39111
784	36219.93525
785	36213.37844
786	36210.53175
787	36204.74653
788	36198.68476
789	36193.74395
790	36192.11985
791	36186.42674
792	36182.02553
793	36175.59319
794	36166.68164
795	36165.15052
796	36161.42271
797	36157.45994
798	36155.07458
799	36147.57527
800	36144.46578
801	36138.23319
802	36134.30955
803	36129.09737
804	36126.5672
805	36121.34565
806	36118.33599
807	36116.7605
808	36114.03168
809	36111.57679
810	36102.88916
811	36096.8542
812	36092.08004
813	36087.37458
814	36084.60981
815	36079.97285
816	36076.67886
817	36071.08212
818	36069.74835
819	36068.63227
820	36065.92932
821	36063.44269
822	36059.77095
823	36058.48266
824	36055.65685
825	36049.47244
826	36045.01482
827	36037.90456
828	36033.52006
829	36030.88032
830	36022.18593
831	36017.27372
832	36011.54595
833	36007.85016
834	35998.623
835	35994.61205
836	35990.22382
837	35980.7595
838	35973.99669
839	35972.75306
840	35968.02746
841	35966.80493
842	35960.59788
843	35950.05856
844	35945.67103
845	35939.48369
846	35932.00659
847	35925.70689
848	35921.23959
849	35917.40035
850	35914.32502
851	35905.30625
852	35901.58177
853	35896.57288
854	35895.48372
855	35891.73206
856	35886.48949
857	35878.76869
858	35874.31992
859	35865.86042
860	35862.85069
861	35859.67296
862	35855.23714
863	35852.01727
864	35848.89445
865	35845.05853
866	35840.12817
867	35832.95113
868	35828.21503
869	35812.94986
870	35804.54881
871	35801.92041
872	35797.9552
873	35790.91249
874	35785.61927
875	35783.68364
876	35781.48812
877	35778.85048
878	35776.24769
879	35774.95974
880	35769.96984
881	35768.03273
882	35762.64589
883	35756.56561
884	35751.10533
885	35743.97507
886	35739.41978
887	35736.83302
888	35729.90013
889	35726.82173
890	35722.43007
891	35721.23199
892	35717.32597
893	35711.27351
894	35707.28266
895	35701.74291
896	35696.15329
897	35692.69488
898	35691.1704
899	35687.2075
900	35683.61392
901	35678.93892
902	35674.97463
903	35673.10861
904	35671.25803
905	35668.48011
906	35660.98697
907	35654.2004
908	35652.77659
909	35647.23311
910	35645.62348
911	35641.01174
912	35632.52088
913	35628.07573
914	35620.20304
915	35616.58723
916	35615.00425
917	35611.02893
918	35605.06775
919	35601.52538
920	35596.67207
921	35590.98428
922	35587.1387
923	35583.61072
924	35577.59511
925	35575.72269
926	35568.20794
927	35567.28485
928	35564.74414
929	35562.72051
930	35554.86048
931	35550.50882
932	35545.90884
933	35539.02011
934	35531.91837
935	35530.92634
936	35525.92785
937	35520.00144
938	35515.63362
939	35512.95213
940	35510.64166
941	35503.5673
942	35496.84493
943	35492.80329
944	35488.86165
945	35487.9371
946	35484.18473
947	35482.25969
948	35479.81623
949	35472.91039
950	35470.49111
951	35466.32118
952	35463.15668
953	35459.88434
954	35455.94225
955	35451.39227
956	35448.04464
957	35443.03143
958	35436.50021
959	35430.62925
960	35428.93585
961	35422.43039
962	35418.4096
963	35412.78839
964	35407.75641
965	35399.08857
966	35394.1969
967	35393.27612
968	35386.94076
969	35384.59602
970	35377.63197
971	35373.28845
972	35365.8974
973	35362.76645
974	35355.85082
975	35353.16562
976	35346.9847
977	35343.933
978	35342.94641
979	35341.80946
980	35337.25874
981	35332.70632
982	35329.48095
983	35327.16956
984	35319.16618
985	35312.66102
986	35309.39243
987	35303.53523
988	35300.01698
989	35295.34804
990	35290.77396
991	35286.20759
992	35285.35233
993	35282.70476
994	35277.315
995	35275.90562
996	35274.74544
997	35271.73719
998	35267.60024
999	35261.96354
